,Title[2][3],Publisher[2][3],Year[2][3]
0,!CLIK!,Sly Dog Studios,2011
1,2-in-1 Geminim / Siamond,RetroZone,2008
2,Plants vs. Zombies,Nice Code,2012
3,31 in 1 Real Games,Mojon Twins,2016
4,8-BIT XMAS 2008,RetroZone,2008
5,8-BIT XMAS 2009,RetroZone,2009
6,8-BIT XMAS 2010,RetroZone,2010
7,8-BIT XMAS 2011,RetroUSB,2011
8,8-BIT XMAS 2012,RetroUSB,2012
9,8-BIT XMAS 2013,RetroUSB,2013
10,8-BIT XMAS 2014,RetroUSB,2014
11,8-BIT XMAS 2015,RetroUSB,2015
12,8-BIT XMAS 2016,RetroUSB,2016
13,8-BIT XMAS 2017,RetroUSB,2017
14,8-BIT XMAS 2018,RetroUSB,2018
15,8-BIT XMAS 2019,RetroUSB,2019
16,8-BIT XMAS 2020,RetroUSB,2020
17,8-BIT XMAS 2021,RetroUSB,2021
18,After Dark,8bitpeoples,2004
19,A Winner Is You,"RetroUSB, Sergio Elisondo",2016
20,Alfonzo's Arctic Adventure,Spoony Bard Productions,2019
21,Almost Hero,Mega Cat Studios,2017
22,Alter Ego,"Shiru, Kulor, Denis",2011
23,Armed for Battle,Infinite NES Lives,2014
24,Assimilate,Nessylum Games,2012
25,Babel Blox,Sly Dog Studios,2012
26,Battle Kid: Fortress of Peril,Sivak Games,2010
27,Battle Kid 2: Mountain of Torment,Sivak Games,2012
28,Beat Em and Eat Em,FG Soft,2014
29,Big City Sliding Blaster,NovaSquirrel,2014
30,Blackbox Challenge,Sly Dog Studios,2017
31,Blade Buster,HLC! Project,2012
32,Blurred Lines 2048,Red Dempsey,2015
33,Bomb Sweeper,Snowbro,2002
34,BOOTèE,Mojon Twins,2018
35,Box Boy,Neal Tew,2003
36,Brony Blaster,FG Soft,2019
37,Chase,Shiru,2012
38,Cheril the Goddess,Mojon Twins,2017
39,Cheril the Writer,Mojon Twins,2018
40,Cheetahmen II: The Lost Levels,Greg Pabich,2012
41,Chunkout 2,James Todd,2008
42,City Trouble,Mega Cat Studios,2017
43,Color Caves,Unknown,2010
44,CYO,nemesys,2015
45,D-Pad Hero,dpadhero.com,2009
46,D-Pad Hero 2,dpadhero.com,2010
47,Data East All-Star Collection[18],Retro-Bit,2017
48,Double Action Blaster Guys,NovaSquirrel,2013
49,Dreamworld Pogie[19],Codemasters,2016
50,Driar,Adolfsson & Erikss,2012
51,DúSHLáN,Peter McQuillan,2016
52,Eskimo Bob,Spoony Bard Productions,2017
53,Expedition[20],Mega Cat Studios,2017
54,Flappy Bird,Nioreh,2014
55,Final Fantasy VII,ShenZhen Nanjing Technology,2005
56,Free Fall,Piko Interactive LLC,2017
57,Galf,Limited Run Games,2018
58,Geminim,Sivak Games,2007
59,GemVenture,RetroZone,2010
60,Homebrew World Championships 2012,RetroUSB,2012
61,Hot Seat Harry,Memblerz,2002
62,Indivisible,Kasumi,2019
63,Jay and Silent Bob: Mall Brawl,Limited Run Games,2020
64,Jammin Honey,Doug Fraker,2017
65,K.Y.F.F,Sly Dog Studios,2012
66,Lan Master,SDM,2011
67,Lawn Mower,Shiru,2011
68,Lizard,Infinite NES Lives,2018
69,Log Jammers,Mega Cat Studios,2017
70,Lunar Limit,Pubby,2018
71,The Mad Wizard - A Candelabra Chronicles,Sly Dog Studios,2014
72,Mega Man 2: 30th Anniversary Edition,IAM8BIT,2017
73,Meteor Swarm,CollectorVision,2016
74,Micro Knight 4,SDM,2017
75,Micro Knight - Revenge of the Four Skulls,SDM,2020
76,Micro Mages,Morphcat Games,2019
77,Mine Shaft,Nioreh,2012
78,More Glider,RetroUSB,2016
79,Multidude,Retrosouls,2015
80,Mystery World Dizzy[21],Codemasters,2017
81,Nebs 'N Debs,Dullahan Software/Broke Studios,2018
82,NES Virus Cleaner,Sly Dog Studios,2011
83,NESNAKE 2,Matrixz,2009
84,Orange Island,Ted Sterchi/Birthday Boy,TBA
85,Pitfall: The Unofficial Adventure,Neverware,2016
86,Power Coloring,RetroUSB,2016
87,Project Blue,Toggle Switch,2017
88,PROTO DERE .NES,AppSir Games,2019
89,Quadralords,RetroUSB,2016
90,Quest Forge: By Order of Kings,Piko Interactive LLC,2015
91,Rainbow Brite - Journey To Rainbow Land,Coleco/PixelHeart,2020
92,The Rise of Amondus,Sly Dog Studios,2015
93,S.T.I.N.G.,Smkdan,2008
94,Saturn Smash,Antoine Fantys / FG Software,2019
95,SGT. Helmet - Training Day,Mojon Twins,2013
96,Snakky,Piko Interactive LLC,2017
97,Sokoban,Johannes Holmberg,2007
98,Solar Wars,Chris M. Covell,2001
99,Solaris,RetroUSB,2016
100,Study Hall,KHAN Games,2014
101,Sudoku – NESWorld Edition,Al Bailey,2007
102,Super Bat Puncher,Morphcat Games,2019
103,Super Floofy Sheepie,Refresh Games,2017
104,Super Homebrew War,Bite the Chili Productions,2018
105,Super NESnake 2,"Matrixz, RetroUSB",2008
106,Super Painter,Retrosouls,2015
107,Super Pakpak,AHO Games,2010
108,Streemerz,Faux Game Co.,2012
109,Tiger Jenny,Ludosity,2014
110,Twelve Seconds,RetroUSB,2016
111,Twin Dragons,JoshProd/PixelHeart,2016/2020
112,Utaco,Miguel/Hijiki Soft,2011
113,What Remains,Iodine Dynamics,2019
114,Wisdom Tree NES Collection,Wisdom Tree,2016
115,Wonderland Dizzy,Codemasters,2015
116,Yun,Mojon Twins,2016
117,Zombie Calavera Prologue,Mojon Twins,2016
118,Zooming Secretary,Shiru & PinWizz,2011
119,FLEA,Lowtek Games,2020
120,Tapeworm Disco Puzzle,Lowtek Games,2021
121,Zero to Ten,SoleGooseProductions,2016
